Gk Sort	book	b	c	v	Heading	Crossref
1	Matthew	40	1	1	The Genealogy of Jesus	『ruth｜4｜18｜Ruth 4:18-22』『luke｜3｜23｜Luke 3:23-38』
344	Matthew	40	1	18	The Birth of Jesus	『isaiah｜7｜10｜Isaiah 7:10-16』『micah｜5｜1｜Micah 5:1-6』『luke｜2｜1｜Luke 2:1-7』
537	Matthew	40	2	1	The Pilgrimage of the Magi	
805	Matthew	40	2	13	The Flight to Egypt	『hosea｜11｜1｜Hosea 11:1-7』
895	Matthew	40	2	16	The Slaughter of Infants	『jeremiah｜31｜1｜Jeremiah 31:1-30』
973	Matthew	40	2	19	The Return to Nazareth	『isaiah｜61｜1｜Isaiah 61:1-11』『matthew｜13｜53｜Matthew 13:53-58』『mark｜6｜1｜Mark 6:1-6』『luke｜2｜39｜Luke 2:39-40』『luke｜4｜16｜Luke 4:16-30』
1086	Matthew	40	3	1	The Mission of John the Baptist	『isaiah｜40｜1｜Isaiah 40:1-5』『mark｜1｜1｜Mark 1:1-8』『luke｜3｜1｜Luke 3:1-20』『john｜1｜19｜John 1:19-28』
1370	Matthew	40	3	13	The Baptism of Jesus	『mark｜1｜9｜Mark 1:9-11』『luke｜3｜21｜Luke 3:21-22』『john｜1｜29｜John 1:29-34』
1489	Matthew	40	4	1	The Temptation of Jesus	『mark｜1｜12｜Mark 1:12-13』『luke｜4｜1｜Luke 4:1-13』
1718	Matthew	40	4	12	Jesus Begins His Ministry	『isaiah｜9｜1｜Isaiah 9:1-7』『mark｜1｜14｜Mark 1:14-15』『luke｜4｜14｜Luke 4:14-15』
1823	Matthew	40	4	18	The First Disciples	『matthew｜13｜47｜Matthew 13:47-52』『mark｜1｜16｜Mark 1:16-20』『luke｜5｜1｜Luke 5:1-11』『john｜1｜35｜John 1:35-42』
1932	Matthew	40	4	23	Jesus Heals the Multitudes	『luke｜6｜17｜Luke 6:17-19』
2019	Matthew	40	5	1	The Sermon on the Mount	
2051	Matthew	40	5	3	The Beatitudes	『psalms｜1｜1｜Psalm 1:1-6』『luke｜6｜20｜Luke 6:20-23』
2198	Matthew	40	5	13	Salt and Light	『philippians｜2｜12｜Philippians 2:12-18』
2296	Matthew	40	5	17	The Fulfillment of the Law	
2413	Matthew	40	5	21	Anger and Reconciliation	『luke｜12｜57｜Luke 12:57-59』
2576	Matthew	40	5	27	Adultery	『leviticus｜18｜1｜Leviticus 18:1-30』
2682	Matthew	40	5	31	Divorce	『deuteronomy｜24｜1｜Deuteronomy 24:1-5』『luke｜16｜18｜Luke 16:18-18』
2724	Matthew	40	5	33	Oaths and Vows	『numbers｜30｜1｜Numbers 30:1-16』
2826	Matthew	40	5	38	Love Your Enemies	『leviticus｜24｜17｜Leviticus 24:17-23』『luke｜6｜27｜Luke 6:27-36』
3046	Matthew	40	6	1	Giving to the Needy	『deuteronomy｜15｜7｜Deuteronomy 15:7-11』
3154	Matthew	40	6	5	The Lord's Prayer	『luke｜11｜1｜Luke 11:1-4』
3406	Matthew	40	6	16	Proper Fasting	
3481	Matthew	40	6	19	Treasures in Heaven	『matthew｜13｜44｜Matthew 13:44-46』
3542	Matthew	40	6	22	The Lamp of the Body	『luke｜11｜33｜Luke 11:33-36』
3626	Matthew	40	6	25	Do Not Worry	『luke｜12｜22｜Luke 12:22-34』
3854	Matthew	40	7	1	Do Not Judge	『luke｜6｜37｜Luke 6:37-42』『romans｜14｜1｜Romans 14:1-12』
3986	Matthew	40	7	7	Ask, Seek, Knock	『luke｜11｜5｜Luke 11:5-13』
4107	Matthew	40	7	13	The Narrow Gate	『luke｜13｜22｜Luke 13:22-30』
4159	Matthew	40	7	15	A Tree and its Fruit	『matthew｜12｜33｜Matthew 12:33-37』『luke｜6｜43｜Luke 6:43-45』
4338	Matthew	40	7	24	The House on the Rock	『luke｜6｜46｜Luke 6:46-49』
4449	Matthew	40	7	28	The Authority of Jesus	
4486	Matthew	40	8	1	The Leper's Prayer	『leviticus｜14｜1｜Leviticus 14:1-32』『mark｜1｜40｜Mark 1:40-45』『luke｜5｜12｜Luke 5:12-16』
4564	Matthew	40	8	5	The Faith of the Centurion	『luke｜7｜1｜Luke 7:1-10』『john｜4｜43｜John 4:43-54』
4768	Matthew	40	8	14	Jesus Heals at Peter's House	『mark｜1｜29｜Mark 1:29-34』『luke｜4｜38｜Luke 4:38-41』
4850	Matthew	40	8	18	The Cost of Discipleship	『luke｜9｜57｜Luke 9:57-62』『luke｜14｜25｜Luke 14:25-33』『john｜6｜60｜John 6:60-65』
4953	Matthew	40	8	23	Jesus Calms the Storm	『mark｜4｜35｜Mark 4:35-41』『luke｜8｜22｜Luke 8:22-25』
5046	Matthew	40	8	28	The Demons and the Pigs	『mark｜5｜1｜Mark 5:1-20』『luke｜8｜26｜Luke 8:26-39』
5209	Matthew	40	9	1	Jesus Heals a Paralytic	『mark｜2｜1｜Mark 2:1-12』『luke｜5｜17｜Luke 5:17-26』
5368	Matthew	40	9	9	The Calling of Matthew	『mark｜2｜13｜Mark 2:13-17』『luke｜5｜27｜Luke 5:27-32』
5481	Matthew	40	9	14	Questions about Fasting	『mark｜2｜18｜Mark 2:18-20』『luke｜5｜33｜Luke 5:33-35』
5541	Matthew	40	9	16	The Patches and the Wineskins	『mark｜2｜21｜Mark 2:21-22』『luke｜5｜36｜Luke 5:36-39』
5601	Matthew	40	9	18	The Healing Touch of Jesus	『mark｜5｜21｜Mark 5:21-43』『luke｜8｜40｜Luke 8:40-56』
5775	Matthew	40	9	27	Jesus Heals the Blind and Mute	『isaiah｜35｜1｜Isaiah 35:1-10』『mark｜7｜31｜Mark 7:31-37』
5921	Matthew	40	9	35	The Lord of the Harvest	
6008	Matthew	40	10	1	The Twelve Apostles	『mark｜3｜13｜Mark 3:13-19』『luke｜6｜12｜Luke 6:12-16』
6098	Matthew	40	10	5	The Ministry of the Twelve	『mark｜6｜7｜Mark 6:7-13』『luke｜9｜1｜Luke 9:1-6』
6314	Matthew	40	10	16	Sheep among Wolves	『2_timothy｜1｜6｜2 Timothy 1:6-12』
6542	Matthew	40	10	26	Fear God Alone	『luke｜12｜4｜Luke 12:4-7』
6663	Matthew	40	10	32	Confessing Christ	『luke｜12｜8｜Luke 12:8-12』
6711	Matthew	40	10	34	The Sword of the Gospel	『luke｜12｜49｜Luke 12:49-53』
6765	Matthew	40	10	37	Take up Your Cross	『matthew｜16｜24｜Matthew 16:24-28』『mark｜8｜34｜Mark 8:34-38』『luke｜9｜23｜Luke 9:23-27』
6832	Matthew	40	10	40	The Reward of Service	『2_kings｜4｜8｜2 Kings 4:8-17』
6899	Matthew	40	11	1	John's Inquiry	『luke｜7｜18｜Luke 7:18-23』
7007	Matthew	40	11	7	Jesus Testifies about John	『luke｜1｜5｜Luke 1:5-25』『luke｜7｜24｜Luke 7:24-35』『luke｜16｜14｜Luke 16:14-17』
7261	Matthew	40	11	20	Woe to the Unrepentant	『luke｜10｜13｜Luke 10:13-16』
7374	Matthew	40	11	25	Rest for the Weary	『luke｜10｜21｜Luke 10:21-24』
7512	Matthew	40	12	1	The Lord of the Sabbath	『1_samuel｜21｜1｜1 Samuel 21:1-9』『mark｜2｜23｜Mark 2:23-28』『luke｜6｜1｜Luke 6:1-5』
7680	Matthew	40	12	9	Jesus Heals on the Sabbath	『mark｜3｜1｜Mark 3:1-6』『luke｜6｜6｜Luke 6:6-11』
7794	Matthew	40	12	15	God's Chosen Servant	『isaiah｜42｜1｜Isaiah 42:1-9』
7915	Matthew	40	12	22	A House Divided	『mark｜3｜20｜Mark 3:20-27』『luke｜11｜14｜Luke 11:14-23』
8116	Matthew	40	12	31	The Unpardonable Sin	『mark｜3｜28｜Mark 3:28-30』
8175	Matthew	40	12	33	Good and Bad Fruit	『matthew｜7｜15｜Matthew 7:15-23』『luke｜6｜43｜Luke 6:43-45』
8288	Matthew	40	12	38	The Sign of Jonah	『luke｜11｜29｜Luke 11:29-32』
8429	Matthew	40	12	43	An Unclean Spirit Returns	『luke｜11｜24｜Luke 11:24-26』
8509	Matthew	40	12	46	Jesus' Mother and Brothers	『mark｜3｜31｜Mark 3:31-35』『luke｜8｜19｜Luke 8:19-21』
8620	Matthew	40	13	1	The Parable of the Sower	『mark｜4｜1｜Mark 4:1-9』『luke｜8｜4｜Luke 8:4-15』
8787	Matthew	40	13	10	The Purpose of Jesus' Parables	『mark｜4｜10｜Mark 4:10-12』
8975	Matthew	40	13	18	The Parable of the Sower Explained	『mark｜4｜13｜Mark 4:13-20』
9128	Matthew	40	13	24	The Parable of the Weeds	『ezekiel｜17｜1｜Ezekiel 17:1-10』
9294	Matthew	40	13	31	The Parable of the Mustard Seed	『mark｜4｜30｜Mark 4:30-34』『luke｜13｜18｜Luke 13:18-19』
9352	Matthew	40	13	33	The Parable of the Leaven	『judges｜20｜18｜Judges 20:18-23』『2_samuel｜2｜12｜2 Samuel 2:12-32』『2_chronicles｜13｜4｜2 Chronicles 13:4-19』『luke｜13｜20｜Luke 13:20-21』
9379	Matthew	40	13	34	I will Open My Mouth in Parables	『psalms｜78｜1｜Psalm 78:1-72』
9421	Matthew	40	13	36	The Parable of the Weeds Explained	『zephaniah｜1｜1｜Zephaniah 1:1-6』
9605	Matthew	40	13	44	The Parables of the Treasure and Pearl	『matthew｜6｜19｜Matthew 6:19-21』
9673	Matthew	40	13	47	The Parable of the Net	『matthew｜4｜18｜Matthew 4:18-22』『mark｜1｜16｜Mark 1:16-20』『luke｜5｜1｜Luke 5:1-11』『john｜1｜35｜John 1:35-42』
9800	Matthew	40	13	53	The Rejection at Nazareth	『isaiah｜61｜1｜Isaiah 61:1-11』『matthew｜2｜19｜Matthew 2:19-23』『mark｜6｜1｜Mark 6:1-6』『luke｜2｜39｜Luke 2:39-40』『luke｜4｜16｜Luke 4:16-30』
9931	Matthew	40	14	1	The Beheading of John	『mark｜6｜14｜Mark 6:14-29』『luke｜9｜7｜Luke 9:7-9』
10151	Matthew	40	14	13	The Feeding of the Five Thousand	『mark｜6｜30｜Mark 6:30-44』『luke｜9｜10｜Luke 9:10-17』『john｜6｜1｜John 6:1-15』
10345	Matthew	40	14	22	Jesus Walks on Water	『mark｜6｜45｜Mark 6:45-52』『john｜6｜16｜John 6:16-25』
10581	Matthew	40	14	34	Jesus Heals at Gennesaret	『mark｜6｜53｜Mark 6:53-56』
10637	Matthew	40	15	1	Tradition and Worship	『mark｜7｜1｜Mark 7:1-13』
10805	Matthew	40	15	10	What Defiles a Man	『mark｜7｜14｜Mark 7:14-23』
10999	Matthew	40	15	21	The Faith of the Canaanite Woman	『mark｜7｜24｜Mark 7:24-30』
11170	Matthew	40	15	29	The Feeding of the Four Thousand	『mark｜8｜1｜Mark 8:1-10』
11407	Matthew	40	16	1	The Demand for a Sign	『mark｜8｜11｜Mark 8:11-13』『luke｜12｜54｜Luke 12:54-56』
11494	Matthew	40	16	5	The Leaven to Beware	『mark｜8｜14｜Mark 8:14-21』
11635	Matthew	40	16	13	Peter's Confession of Christ	『mark｜8｜27｜Mark 8:27-30』『luke｜9｜18｜Luke 9:18-20』『john｜6｜66｜John 6:66-71』
11824	Matthew	40	16	21	Christ's Passion Foretold	『mark｜8｜31｜Mark 8:31-33』『luke｜9｜21｜Luke 9:21-22』
11909	Matthew	40	16	24	Take Up Your Cross	『matthew｜10｜37｜Matthew 10:37-39』『mark｜8｜34｜Mark 8:34-38』『luke｜9｜23｜Luke 9:23-27』
12046	Matthew	40	17	1	The Transfiguration	『mark｜9｜1｜Mark 9:1-13』『luke｜9｜28｜Luke 9:28-36』『2_peter｜1｜16｜2 Peter 1:16-21』
12330	Matthew	40	17	14	The Boy with a Demon	『mark｜9｜14｜Mark 9:14-29』『luke｜9｜37｜Luke 9:37-42』『luke｜17｜5｜Luke 17:5-10』
12507	Matthew	40	17	22	The Second Prediction of the Passion	『mark｜9｜30｜Mark 9:30-32』『luke｜9｜43｜Luke 9:43-45』
12545	Matthew	40	17	24	The Temple Tax	
12661	Matthew	40	18	1	The Greatest in the Kingdom	『mark｜9｜33｜Mark 9:33-37』『luke｜9｜46｜Luke 9:46-50』
12792	Matthew	40	18	7	Temptations and Trespasses	『mark｜9｜42｜Mark 9:42-50』『luke｜17｜1｜Luke 17:1-4』
12895	Matthew	40	18	10	The Parable of the Lost Sheep	『luke｜15｜1｜Luke 15:1-7』
13016	Matthew	40	18	15	A Brother who Sins	『deuteronomy｜19｜15｜Deuteronomy 19:15-21』
13173	Matthew	40	18	21	The Unforgiving Servant	『romans｜12｜14｜Romans 12:14-21』
13480	Matthew	40	19	1	Teachings about Divorce	『mark｜10｜1｜Mark 10:1-12』
13749	Matthew	40	19	13	Jesus Blesses the Children	『mark｜10｜13｜Mark 10:13-16』『luke｜18｜15｜Luke 18:15-17』
13806	Matthew	40	19	16	The Rich Young Man	『mark｜10｜17｜Mark 10:17-31』『luke｜18｜18｜Luke 18:18-30』
14140	Matthew	40	20	1	The Parable of the Workers	
14459	Matthew	40	20	17	The Third Prediction of the Passion	『mark｜10｜32｜Mark 10:32-34』『luke｜18｜31｜Luke 18:31-34』
14525	Matthew	40	20	20	A Mother's Request	『mark｜10｜35｜Mark 10:35-45』
14741	Matthew	40	20	29	The Blind Men by the Road	『mark｜10｜46｜Mark 10:46-52』『luke｜18｜35｜Luke 18:35-43』
14844	Matthew	40	21	1	The Triumphal Entry	『zechariah｜9｜9｜Zechariah 9:9-13』『mark｜11｜1｜Mark 11:1-11』『luke｜19｜28｜Luke 19:28-40』『john｜12｜12｜John 12:12-19』
15078	Matthew	40	21	12	Jesus Cleanses the Temple	『mark｜11｜15｜Mark 11:15-19』『luke｜19｜45｜Luke 19:45-48』『john｜2｜12｜John 2:12-25』
15220	Matthew	40	21	18	The Barren Fig Tree	『mark｜11｜12｜Mark 11:12-14』『mark｜11｜20｜Mark 11:20-26』
15338	Matthew	40	21	23	Jesus' Authority Challenged	『mark｜11｜27｜Mark 11:27-33』『luke｜20｜1｜Luke 20:1-8』
15474	Matthew	40	21	28	The Parable of the Two Sons	
15601	Matthew	40	21	33	The Parable of the Wicked Tenants	『mark｜12｜1｜Mark 12:1-12』『luke｜20｜9｜Luke 20:9-18』
15895	Matthew	40	22	1	The Parable of the Banquet	『luke｜14｜15｜Luke 14:15-24』
16174	Matthew	40	22	15	Paying Taxes to Caesar	『mark｜12｜13｜Mark 12:13-17』『luke｜20｜19｜Luke 20:19-26』
16321	Matthew	40	22	23	The Sadducees and the Resurrection	『mark｜12｜18｜Mark 12:18-27』『luke｜20｜27｜Luke 20:27-40』
16529	Matthew	40	22	34	The Greatest Commandment	『deuteronomy｜6｜1｜Deuteronomy 6:1-19』『mark｜12｜28｜Mark 12:28-34』
16639	Matthew	40	22	41	Whose Son is the Christ?	『mark｜12｜35｜Mark 12:35-37』『luke｜20｜41｜Luke 20:41-44』
16741	Matthew	40	23	1	Woes to Scribes and Pharisees	『luke｜11｜37｜Luke 11:37-54』
17508	Matthew	40	23	37	Lament over Jerusalem	『luke｜13｜31｜Luke 13:31-35』
17576	Matthew	40	24	1	Temple Destruction Foretold	『mark｜13｜1｜Mark 13:1-9』『luke｜21｜5｜Luke 21:5-9』
17625	Matthew	40	24	3	Signs of the End of the Age	
17745	Matthew	40	24	9	Witnessing to All Nations	『mark｜13｜10｜Mark 13:10-13』『luke｜21｜10｜Luke 21:10-19』
17844	Matthew	40	24	15	The Abomination of Desolation	『mark｜13｜14｜Mark 13:14-23』『luke｜21｜20｜Luke 21:20-24』
18037	Matthew	40	24	26	The Return of the Son of Man	『mark｜13｜24｜Mark 13:24-27』『luke｜21｜25｜Luke 21:25-28』
18199	Matthew	40	24	32	The Lesson of the Fig Tree	『mark｜13｜28｜Mark 13:28-31』『luke｜21｜29｜Luke 21:29-33』
18279	Matthew	40	24	36	Readiness at Any Hour	『genesis｜6｜1｜Genesis 6:1-7』『mark｜13｜32｜Mark 13:32-37』『luke｜12｜35｜Luke 12:35-48』
18605	Matthew	40	25	1	The Parable of the Ten Virgins	
18835	Matthew	40	25	14	The Parable of the Talents	『luke｜19｜11｜Luke 19:11-27』
19205	Matthew	40	25	31	The Sheep and the Goats	
19550	Matthew	40	26	1	The Plot to Kill Jesus	『mark｜14｜1｜Mark 14:1-2』『luke｜22｜1｜Luke 22:1-6』『john｜11｜45｜John 11:45-57』
19640	Matthew	40	26	6	Jesus Anointed at Bethany	『mark｜14｜3｜Mark 14:3-9』『john｜12｜1｜John 12:1-8』
19781	Matthew	40	26	14	Judas Agrees to Betray Jesus	『zechariah｜11｜10｜Zechariah 11:10-17』『matthew｜27｜3｜Matthew 27:3-10』『mark｜14｜10｜Mark 14:10-11』
19828	Matthew	40	26	17	Preparing the Passover	『psalms｜41｜1｜Psalm 41:1-13』『mark｜14｜12｜Mark 14:12-21』『luke｜22｜7｜Luke 22:7-13』『john｜13｜18｜John 13:18-30』
20020	Matthew	40	26	26	The Last Supper	『mark｜14｜22｜Mark 14:22-26』『luke｜22｜14｜Luke 22:14-23』『1_corinthians｜11｜17｜1 Corinthians 11:17-34』
20127	Matthew	40	26	31	Jesus Predicts Peter's Denial	『mark｜14｜27｜Mark 14:27-31』『luke｜22｜31｜Luke 22:31-38』『john｜13｜36｜John 13:36-38』
20234	Matthew	40	26	36	Jesus Prays at Gethsemane	『mark｜14｜32｜Mark 14:32-42』『luke｜22｜39｜Luke 22:39-46』
20473	Matthew	40	26	47	The Betrayal of Jesus	『mark｜14｜43｜Mark 14:43-52』『luke｜22｜47｜Luke 22:47-53』『john｜18｜1｜John 18:1-14』
20702	Matthew	40	26	57	Jesus Faces the Sanhedrin	『isaiah｜53｜1｜Isaiah 53:1-8』『mark｜14｜53｜Mark 14:53-65』『john｜18｜19｜John 18:19-24』『1_peter｜2｜21｜1 Peter 2:21-25』
20946	Matthew	40	26	69	Peter Denies Jesus	『mark｜14｜66｜Mark 14:66-72』『luke｜22｜54｜Luke 22:54-62』『john｜18｜15｜John 18:15-18』
21090	Matthew	40	27	1	Jesus Delivered to Pilate	『mark｜15｜1｜Mark 15:1-5』
21126	Matthew	40	27	3	Judas Hangs Himself	『zechariah｜11｜10｜Zechariah 11:10-17』『matthew｜26｜14｜Matthew 26:14-16』『mark｜14｜10｜Mark 14:10-11』
21276	Matthew	40	27	11	Jesus Before Pilate	『luke｜23｜1｜Luke 23:1-6』『john｜18｜28｜John 18:28-40』
21352	Matthew	40	27	15	The Crowd Chooses Barabbas	『mark｜15｜6｜Mark 15:6-11』『luke｜23｜13｜Luke 23:13-25』
21524	Matthew	40	27	24	Pilate Washes his Hands	『mark｜15｜12｜Mark 15:12-15』
21592	Matthew	40	27	27	The Soldiers Mock Jesus	『isaiah｜50｜4｜Isaiah 50:4-11』『mark｜15｜16｜Mark 15:16-20』『luke｜22｜63｜Luke 22:63-65』『john｜19｜1｜John 19:1-15』
21696	Matthew	40	27	32	The Crucifixion	『psalms｜22｜1｜Psalm 22:1-36』『psalms｜69｜1｜Psalm 69:1-36』『mark｜15｜21｜Mark 15:21-32』『luke｜23｜26｜Luke 23:26-43』『john｜19｜16｜John 19:16-27』
21936	Matthew	40	27	45	The Death of Jesus	『psalms｜22｜1｜Psalm 22:1-31』『mark｜15｜33｜Mark 15:33-41』『luke｜23｜44｜Luke 23:44-49』『john｜19｜28｜John 19:28-30』
22194	Matthew	40	27	57	The Burial of Jesus	『isaiah｜53｜9｜Isaiah 53:9-12』『mark｜15｜42｜Mark 15:42-47』『luke｜23｜50｜Luke 23:50-56』『john｜19｜38｜John 19:38-42』
22291	Matthew	40	27	62	The Guards at the Tomb	
22396	Matthew	40	28	1	The Resurrection	『psalms｜16｜1｜Psalm 16:1-11』『psalms｜49｜1｜Psalm 49:1-20』『mark｜16｜1｜Mark 16:1-8』『luke｜24｜1｜Luke 24:1-12』『john｜20｜1｜John 20:1-9』
22616	Matthew	40	28	11	The Report of the Guards	
22711	Matthew	40	28	16	The Great Commission	『mark｜16｜14｜Mark 16:14-18』
22812	Mark	41	1	1	The Mission of John the Baptist	『isaiah｜40｜1｜Isaiah 40:1-5』『matthew｜3｜1｜Matthew 3:1-12』『luke｜3｜1｜Luke 3:1-20』『john｜1｜19｜John 1:19-28』
22974	Mark	41	1	9	The Baptism of Jesus	『matthew｜3｜13｜Matthew 3:13-17』『luke｜3｜21｜Luke 3:21-22』『john｜1｜29｜John 1:29-34』
23039	Mark	41	1	12	The Temptation of Jesus	『matthew｜4｜1｜Matthew 4:1-11』『luke｜4｜1｜Luke 4:1-13』
23077	Mark	41	1	14	Jesus Preaches in Galilee	『isaiah｜9｜1｜Isaiah 9:1-7』『matthew｜4｜12｜Matthew 4:12-17』『luke｜4｜14｜Luke 4:14-15』
23120	Mark	41	1	16	The First Disciples	『matthew｜4｜18｜Matthew 4:18-22』『matthew｜13｜47｜Matthew 13:47-52』『luke｜5｜1｜Luke 5:1-11』『john｜1｜35｜John 1:35-42』
23222	Mark	41	1	21	Jesus Expels an Unclean Spirit	『luke｜4｜31｜Luke 4:31-37』
23378	Mark	41	1	29	Jesus Heals at Peter's House	『matthew｜8｜14｜Matthew 8:14-17』『luke｜4｜38｜Luke 4:38-41』
23494	Mark	41	1	35	Jesus Prays and Preaches	『luke｜4｜42｜Luke 4:42-44』
23577	Mark	41	1	40	The Leper's Prayer	『leviticus｜14｜1｜Leviticus 14:1-32』『matthew｜8｜1｜Matthew 8:1-4』『luke｜5｜12｜Luke 5:12-16』
23700	Mark	41	2	1	Jesus Heals a Paralytic	『matthew｜9｜1｜Matthew 9:1-8』『luke｜5｜17｜Luke 5:17-26』
23944	Mark	41	2	13	The Calling of Levi	『matthew｜9｜9｜Matthew 9:9-13』『luke｜5｜27｜Luke 5:27-32』
24073	Mark	41	2	18	Questions about Fasting	『matthew｜9｜14｜Matthew 9:14-15』『luke｜5｜33｜Luke 5:33-35』
24161	Mark	41	2	21	The Patches and the Wineskins	『matthew｜9｜16｜Matthew 9:16-17』『luke｜5｜36｜Luke 5:36-39』
24222	Mark	41	2	23	The Lord of the Sabbath	『1_samuel｜21｜1｜1 Samuel 21:1-9』『matthew｜12｜1｜Matthew 12:1-8』『luke｜6｜1｜Luke 6:1-5』
24354	Mark	41	3	1	Jesus Heals on the Sabbath	『matthew｜12｜9｜Matthew 12:9-14』『luke｜6｜6｜Luke 6:6-11』
24473	Mark	41	3	7	Multitudes Follow Jesus	
24600	Mark	41	3	13	The Twelve Apostles	『matthew｜10｜1｜Matthew 10:1-4』『luke｜6｜12｜Luke 6:12-16』
24722	Mark	41	3	20	A House Divided	『matthew｜12｜22｜Matthew 12:22-30』『luke｜11｜14｜Luke 11:14-23』
24880	Mark	41	3	28	The Unpardonable Sin	『matthew｜12｜31｜Matthew 12:31-32』
24935	Mark	41	3	31	Jesus' Mother and Brothers	『matthew｜12｜46｜Matthew 12:46-50』『luke｜8｜19｜Luke 8:19-21』
25040	Mark	41	4	1	The Parable of the Sower	『matthew｜13｜1｜Matthew 13:1-9』『luke｜8｜4｜Luke 8:4-15』
25228	Mark	41	4	10	The Purpose of Jesus' Parables	『matthew｜13｜10｜Matthew 13:10-17』
25293	Mark	41	4	13	The Parable of the Sower Explained	『matthew｜13｜18｜Matthew 13:18-23』
25471	Mark	41	4	21	The Lesson of the Lamp	『luke｜8｜16｜Luke 8:16-18』
25567	Mark	41	4	26	The Seed Growing Secretly	
25643	Mark	41	4	30	The Parable of the Mustard Seed	『matthew｜13｜31｜Matthew 13:31-32』『luke｜13｜18｜Luke 13:18-19』
25745	Mark	41	4	35	Jesus Calms the Storm	『matthew｜8｜23｜Matthew 8:23-27』『luke｜8｜22｜Luke 8:22-25』
25891	Mark	41	5	1	The Demons and the Pigs	『matthew｜8｜28｜Matthew 8:28-34』『luke｜8｜26｜Luke 8:26-39』
26296	Mark	41	5	21	The Healing Touch of Jesus	『matthew｜9｜18｜Matthew 9:18-26』『luke｜8｜40｜Luke 8:40-56』
26762	Mark	41	6	1	The Rejection at Nazareth	『isaiah｜61｜1｜Isaiah 61:1-11』『matthew｜2｜19｜Matthew 2:19-23』『matthew｜13｜53｜Matthew 13:53-58』『luke｜2｜39｜Luke 2:39-40』『luke｜4｜16｜Luke 4:16-30』
26918	Mark	41	6	7	The Ministry of the Twelve	『matthew｜10｜5｜Matthew 10:5-15』『luke｜9｜1｜Luke 9:1-6』
27061	Mark	41	6	14	The Beheading of John	『matthew｜14｜1｜Matthew 14:1-12』『luke｜9｜7｜Luke 9:7-9』
27428	Mark	41	6	30	The Feeding of the Five Thousand	『matthew｜14｜13｜Matthew 14:13-21』『luke｜9｜10｜Luke 9:10-17』『john｜6｜1｜John 6:1-15』
27725	Mark	41	6	45	Jesus Walks on Water	『matthew｜14｜22｜Matthew 14:22-33』『john｜6｜16｜John 6:16-25』
27896	Mark	41	6	53	Jesus Heals at Gennesaret	『matthew｜14｜34｜Matthew 14:34-36』
27984	Mark	41	7	1	Tradition and Worship	『matthew｜15｜1｜Matthew 15:1-9』
28268	Mark	41	7	14	What Defiles a Man	『matthew｜15｜10｜Matthew 15:10-20』
28453	Mark	41	7	24	The Faith of the Gentile Woman	『matthew｜15｜21｜Matthew 15:21-28』
28613	Mark	41	7	31	The Deaf and Mute Man	『isaiah｜35｜1｜Isaiah 35:1-10』『matthew｜9｜32｜Matthew 9:32-34』
28756	Mark	41	8	1	The Feeding of the Four Thousand	『matthew｜15｜29｜Matthew 15:29-39』
28942	Mark	41	8	11	The Demand for a Sign	『matthew｜16｜1｜Matthew 16:1-4』『luke｜12｜54｜Luke 12:54-56』
29001	Mark	41	8	14	The Leaven to Beware	『matthew｜16｜5｜Matthew 16:5-12』
29140	Mark	41	8	22	The Blind Man at Bethsaida	
29246	Mark	41	8	27	Peter's Confession of Christ	『matthew｜16｜13｜Matthew 16:13-20』『luke｜9｜18｜Luke 9:18-20』『john｜6｜66｜John 6:66-71』
29337	Mark	41	8	31	Christ's Passion Foretold	『matthew｜16｜21｜Matthew 16:21-23』『luke｜9｜21｜Luke 9:21-22』
29418	Mark	41	8	34	Take up Your Cross	『matthew｜10｜37｜Matthew 10:37-39』『matthew｜16｜24｜Matthew 16:24-28』『luke｜9｜23｜Luke 9:23-27』
29546	Mark	41	9	1	The Transfiguration	『matthew｜17｜1｜Matthew 17:1-13』『luke｜9｜28｜Luke 9:28-36』『2_peter｜1｜16｜2 Peter 1:16-21』
