English	Spanish
『ABBreviated form』	[forma ABreviada]
『Accusative』	[Acusativo]
『Active』	[Activa]
『Adjective』	[Adjetivo]
『ADVerb or adverb and particle combined』	[ADVerbio o adverbio y partícula combinados]
『ADVerb』	[ADVerbio]
『Aeolic』	[(A) Eólico]
『Aorist』	[Aoristo]
『Apocopated form』	[forma APócopa]
『ARAMaic transliterated word (indeclinable)』	[palabra transliterada ARAMea (indeclinable)]
『ATTic form』	[forma ÁTica]
『ATTic Greek form』	[forma ÁTica griega]
『Comparative』	[Comparativo]
『CONDitional particle or conjunction』	[partícula CONDicional o conjunción]
『CONDitional particle』	[partícula CONDicional]
『CONJunction or conjunctive particle』	[CONJunción o partícula cunjuntiva]
『CONJunction』	[CONJunción]
『Contracted form』	[forma Contraída]
『correlative or interrogative pronoun』	[(Q) pronombre correlativo o interrogativo]
『correlative pronoun』	[(K) pronombre correlativo]
『Dative』	[Dativo]
『definite article』	[(T) artículo determinado]
『Demonstrative pronoun』	[pronombre Demostrativo]
『disjunctive particle』	[partícula disyuntiva]
『Either middle or passive』	[(E) ya sea media o pasiva]
『Feminine』	[Femenino]
『first』	[(1) primera]
『Future』	[Futuro]
『Genitive』	[Genitivo]
『HEBrew transliterated word (indeclinable)』	[palabra transliterada HEBrea (indeclinable)]
『HEBrew』	[HEBreo]
『iMperative』	[IMperativo]
『Imperfect』	[Imperfecto]
『impersonal active』	[Q) activa impersonal]
『Indeclinable Letter (Noun)』	[(LI) Letra Indeclinable (Sustantivo)]
『Indeclinable Noun of Other type』	[(OI) Sustantivo Indeclinable de Otro tipo]
『Indeclinable NUmeral (Adjective)』	[NUmeral Indeclinable (Adjetivo)]
『Indeclinable PRoper Noun』	[Nombre PRopio Indeclinable]
『indefinite pronoun』	[(X) pronombre indefinido]
『Indicative』	[Indicativo]
『iNfinitive』	[iNfinitivo]
『INterJection』	[INterJección]
『Interrogative pronoun』	[pronombre Interrogativo]
『Interrogative』	[Interrogativo]
『IRRegular or inpure form』	[forma iRRegular o impura]
『Kai』	[Kai]
『Letter Indeclinable (N)』	[(LI) Letra Indeclinable (N)]
『Location Gentilic』	[(LG) Gentilicio de Localización]
『Location』	[Localización]
『Masculine)』	[Masculino]
『Masculine』	[Masculino]
『middle Deponent』	[Deponente medio]
『middle or passive depoNent』	[depoNente medio o pasivo]
『Middle significance』	[significado Medio]
『Middle』	[Media]
『Negative』	[Negativo]
『Neuter』	[Neutro]
『no tense stated (adverbial imperative)』	[(X) tiempo no declarado (imperativo adverbial)]
『no voice stated』	[(X) voz no declarada]
『Nominative』	[Nominativo]
『Noun』	[SustaNtivo]
『NUmerical Indiclinable (A)』	[NUmérico Indeclinable (Adjetivo)]
『Optative』	[Optativo]
『Participle』	[Participio]
『Particle attached』	[Partícula adjunta]
『PaRTicle』	[PaRTícula]
『passive depOnent』	[depOnente pasivo]
『Passive』	[Pasivo]
『perfect』	[perfecto]
『peRfect』	[peRfecto]
『Person Gentilic』	[(PG) Gentilicio de Persona]
『Person』	[Persona]
『Personal pronoun』	[pronombre Personal]
『pLuperfect』	[pLuscuanperfecto]
『Plural (Verb』	[Plural (Verbo)]
『Plural』	[Plural]
『poSessive pronoun』	[pronombre poSesivo]
『poSsessive pronoun』	[pronombre poSesivo]
『PREPosition』	[PREPosición]
『Present』	[Presente]
『reCiprocal pronoun』	[pronombre reCíproco]
『reFlexive pronoun』	[pronombre reFlexivo]
『Relative pronoun』	[pronombre Relativo]
『second Aorist』	[(2A) Aoristo segundo]
『second Future』	[(2F) Futuro segundo]
『second peRfect』	[(2R) peRfecto segundo]
『second pLuperfect』	[(2L) pLuscuanperfecto segundo]
『second Present』	[(2P) Presente segundo]
『second』	[(2) segunda]
『Singular』	[Singular]
『Subjunctive』	[Subjuntivo]
『Superlative』	[Superlativo]
『third』	[(3) tercera]
『Title』	[Título]
『Transitive』	[Transitivo]
『Verb』	[Verbo]
『Vocative』	[Vocativo]